Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
376_0,80,80,80,80,80,81,80,80,81,81,80,81,81,80,80,80,80,81,81,81,81,84,87,86,75,75,76,,,
376_1,53,52,53,53,53,53,52,52,53,53,52,53,53,52,52,52,52,53,53,53,53,56,59,58,52,54,54,,,
377_0,44,42,44,41,42,38,38,38,38,60,64,64,64,64,65,65,65,65,65,65,65,68,69,68,62,64,67,,,
377_1,37,36,37,36,36,32,32,32,32,51,53,53,53,53,54,54,54,54,54,54,55,58,59,59,52,55,58,,,
378_0,65,65,65,65,65,65,65,64,65,65,66,66,65,66,66,66,66,66,66,66,66,69,70,70,62,64,66,,,
378_1,50,51,51,51,51,50,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,54,56,56,50,54,56,,,
379_0,84,81,80,80,80,80,80,80,81,81,80,80,81,81,81,81,81,81,81,84,82,85,86,88,70,70,72,,,
379_1,57,57,57,57,57,57,57,57,57,57,57,56,57,57,57,57,57,57,57,59,58,61,62,63,56,59,60,,,
380_0,73,74,74,74,64,71,74,73,75,75,74,76,65,77,78,79,79,80,78,67,73,79,79,79,69,69,68,,,
380_1,59,60,59,60,53,59,61,59,61,61,60,61,53,62,62,62,62,63,62,54,61,64,64,64,58,59,57,,,
381_0,76,76,76,76,76,76,76,75,76,76,76,76,75,76,76,76,76,76,77,76,77,79,80,78,71,74,75,,,
381_1,57,57,57,58,58,57,57,57,58,58,57,58,58,57,58,58,58,58,59,58,59,62,64,62,57,61,61,,,
382_0,67,66,67,67,66,65,67,65,67,66,67,67,67,66,67,67,67,67,67,68,68,72,74,75,61,62,67,,,
382_1,54,54,52,52,54,51,55,52,54,53,54,53,53,53,53,55,53,55,53,54,54,58,61,61,53,58,60,,,
383_0,76,76,76,77,77,77,77,76,77,77,77,77,77,77,77,77,77,77,77,77,78,81,83,83,73,72,76,,,
383_1,58,59,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,64,66,66,56,59,62,,,
384_0,41,41,41,40,42,42,42,42,42,42,42,42,42,42,42,43,43,42,43,42,43,47,50,51,54,57,61,,,
384_1,33,33,32,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,39,42,43,45,49,53,,,
385_0,49,50,49,49,51,48,49,47,49,49,50,49,47,47,47,51,51,48,50,47,46,55,55,57,55,56,59,,,
385_1,36,37,37,37,37,36,38,35,37,37,37,36,36,35,36,39,38,37,38,35,35,44,44,43,44,48,50,,,
386_0,68,68,68,67,68,68,69,68,67,68,68,68,68,68,68,68,68,68,68,68,66,70,73,74,63,62,68,,,
386_1,55,55,55,55,55,55,55,55,55,55,56,56,55,55,55,55,55,55,55,55,53,58,61,62,53,56,62,,,
387_0,67,67,68,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,72,75,76,63,60,65,,,
387_1,51,51,52,51,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,57,60,60,51,53,58,,,
388_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389_0,79,78,79,78,78,78,78,78,78,78,78,80,78,78,78,78,79,78,78,79,80,83,85,86,72,67,75,,,
389_1,56,54,56,54,55,55,55,55,54,55,55,56,55,55,54,55,56,55,55,56,56,61,62,62,53,56,61,,,
390_0,68,68,68,68,68,68,68,67,68,69,70,69,68,69,69,69,68,69,69,69,70,72,72,71,69,75,79,,,
390_1,53,53,54,54,54,54,54,52,54,55,54,55,54,55,54,54,54,53,55,55,55,60,60,60,57,65,68,,,
391_0,64,64,65,64,65,64,64,65,64,64,64,65,64,65,65,65,65,65,65,65,65,66,68,66,59,59,58,,,
391_1,50,49,50,50,50,50,50,50,50,50,50,50,50,50,51,51,50,51,50,51,50,52,54,53,49,50,48,,,
392_0,80,81,81,81,81,82,82,81,81,81,82,82,82,82,81,81,81,81,82,83,83,87,86,86,78,81,87,,,
392_1,50,50,51,51,51,51,51,51,51,51,52,51,52,52,51,51,51,51,52,52,52,56,56,57,56,61,65,,,
393_0,82,83,82,83,67,77,79,78,80,80,81,82,69,82,82,84,84,84,84,71,80,87,85,86,74,74,79,,,
393_1,56,56,56,56,48,55,56,56,57,56,56,57,49,58,59,59,57,58,59,51,58,62,62,61,57,61,65,,,
394_0,67,67,68,67,59,40,39,38,38,66,73,74,74,74,73,73,74,73,74,75,75,77,75,74,65,67,71,,,
394_1,53,53,53,52,46,34,34,34,34,53,56,56,57,57,56,56,57,56,57,57,58,61,60,61,54,59,63,,,
395_0,70,71,71,70,69,69,70,69,70,72,71,69,69,71,71,70,71,71,71,70,71,73,75,76,66,69,74,,,
395_1,57,58,59,58,57,57,58,56,57,59,58,56,57,59,58,58,60,59,59,58,59,62,68,71,59,65,69,,,
396_0,85,85,85,85,86,86,86,84,86,86,86,86,85,86,86,86,86,86,85,85,85,87,88,87,77,79,83,,,
396_1,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,56,55,55,56,59,61,61,57,61,64,,,
397_0,74,73,73,73,73,73,74,73,73,73,73,74,73,73,73,74,74,74,73,73,74,75,75,75,72,75,80,,,
397_1,55,55,55,55,55,54,55,55,54,55,55,55,54,55,55,55,55,55,55,55,55,57,60,61,56,60,64,,,
398_0,70,70,70,70,71,71,70,71,71,71,70,71,70,71,71,71,71,70,70,70,70,72,74,74,64,66,71,,,
398_1,50,50,50,50,50,51,51,51,52,50,50,51,50,52,51,52,51,51,50,50,51,54,56,56,54,59,62,,,
399_0,72,72,73,72,72,73,72,72,72,73,73,73,73,73,73,73,72,72,73,73,74,75,75,75,69,70,73,,,
399_1,60,60,61,61,60,61,61,60,60,61,61,62,61,62,61,61,61,61,62,62,63,65,66,67,60,63,65,,,
400_0,72,72,73,73,72,73,72,72,72,73,73,73,73,73,73,73,72,72,73,73,73,74,74,73,69,70,73,,,
400_1,50,50,51,51,51,51,50,50,51,51,51,52,51,51,51,51,51,51,52,52,52,55,56,57,56,58,61,,,
