Series ID,Thu Mar 21 2019 19:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 14:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:25:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:30:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:35:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:40:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:45:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:50:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 15:55:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:00:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:05:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:10:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:15:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:20:00 GMT-0500 (Central Daylight Time),Thu Mar 21 2019 16:25:00 GMT-0500 (Central Daylight Time)
40_0,40,40,40,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,42,45,47,48,51,52,52,,,
40_1,31,31,31,31,32,31,31,31,31,31,31,31,31,31,31,31,31,32,32,31,33,36,39,39,42,43,43,,,
40_2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,23,25,26,29,29,29,,,
40_3,0.014028,0.014028,0.01375,0.01375,0.01375,0.013472,0.013194,0.012222,0.012222,0.011667,0.012639,0.012639,0.012083,0.012361,0.01375,0.014167,0.011528,0.011944,0.012778,0.012917,0.012917,0.012917,0.011389,0.011389,0.013056,0.012361,0.012917,,,
40_4,32.21178898222065,32.21491548033433,32.21752089542906,32.219084144485905,32.216999812410116,41.095733372240865,41.1285616024345,41.2056818892386,41.23851011943223,41.27811242887217,41.32396773453947,41.36252787794152,41.37972361756675,41.43183191946141,41.49019321758343,41.52979552702337,41.57565083269067,41.6095212289222,38.08908435291911,38.11149092273381,38.11149092273381,38.19746962086,38.23863517935678,38.28396940200513,38.317318715217716,38.33503553786189,38.37932759447236,,,
40_5,8890,8890,8890,8890,8890,8890,8960,8890,8890,8890,8960,8960,8890,8960,8890,8890,8890,8890,8890,8960,8960,9450,9800,9870,8890,8680,8680,,,
40_6,8750,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8960,8890,8960,8890,8960,8890,8890,8890,8960,8960,9590,9800,9660,8750,8680,8540,,,
40_7,8750,8750,8750,8750,8750,8890,8890,8750,8750,8890,8890,8890,8750,8890,8750,8890,8890,8750,8750,8890,8890,9380,9660,9800,8750,8680,8540,,,
40_8,8680,8750,8750,8750,8750,8890,8890,8890,8890,8890,8750,8890,8750,8890,8890,8890,8890,8750,8750,8890,8890,9450,9660,9800,8890,8680,8540,,,
40_9,43.125,44.375,43.125,42.8125,44.375,44.6875,44.375,44.375,44.375,44.0625,44.375,44.375,45.9375,45.3125,44.0625,44.0625,44.375,44.375,44.375,44.6875,45,45.625,44.6875,44.6875,44.0625,44.0625,44.0625,,,
41_0,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,59,62,64,64,63,60,61,,,
41_1,42,42,42,43,42,43,42,42,43,43,42,42,43,43,43,43,42,42,43,43,44,47,49,50,47,48,49,,,
41_2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,23,25,26,29,29,29,,,
41_3,0.220833,0.220833,0.220694,0.220139,0.220278,0.220833,0.220278,0.220556,0.22,0.22,0.220139,0.21875,0.2175,0.219861,0.219722,0.220417,0.219861,0.220833,0.218056,0.218611,0.218611,0.220417,0.220694,0.220417,0.22,0.219583,0.220694,,,
41_4,18.81266023302833,18.81266023302833,18.813181316047274,18.813181316047274,18.81213915000938,18.81109698397149,18.81109698397149,18.81109698397149,18.81370239906622,18.81370239906622,18.814744565104114,18.81213915000938,18.81213915000938,18.81057590095254,18.81370239906622,18.81370239906622,18.81109698397149,18.811618066990434,18.81422348208517,18.81422348208517,18.81109698397149,18.81109698397149,18.811618066990434,18.81057590095254,18.810054817933594,18.81109698397149,18.81213915000938,,,
41_5,8890,8890,8890,8890,8890,8890,8960,8890,8890,8890,8960,8890,8890,8890,8890,8960,8890,8890,8890,8960,8960,9450,9800,9800,8750,8680,8680,,,
41_6,8890,8960,8890,8960,8890,8890,8890,8890,8890,8890,8890,8960,8890,8890,8890,8890,8960,8680,8890,8960,8960,9450,9800,9660,8960,8680,8540,,,
41_7,8750,8750,8750,8750,8750,8750,8890,8750,8750,8890,8890,8960,8750,8890,8890,8890,8890,8750,8890,8890,8890,9450,9800,9870,8680,8680,8540,,,
41_8,8750,8890,8890,8890,8890,8890,8890,8890,8750,8750,8890,8890,8750,8890,8890,8750,8890,8680,8750,8960,8890,9380,9660,9800,8890,8680,8540,,,
41_9,70,68.125,69.0625,68.4375,68.75,68.75,68.125,68.125,68.4375,68.4375,68.125,68.4375,68.75,67.1875,68.125,68.125,68.4375,67.5,68.4375,69.375,69.0625,68.4375,68.75,67.8125,52.1875,53.75,54.375,,,
42_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43_0,57,58,58,58,50,56,57,57,57,57,57,59,50,59,59,60,60,60,59,51,58,61,63,64,52,52,53,,,
43_1,44,44,44,44,39,44,45,45,44,45,45,46,39,45,45,46,46,46,46,40,46,49,52,52,44,46,46,,,
43_2,16,16,16,16,16,17,17,16,16,16,16,16,16,17,16,17,16,17,17,17,19,24,27,27,29,31,31,,,
43_3,0.499861,0.500556,0.500833,0.500972,0.499583,0.498333,0.499167,0.500139,0.500139,0.504444,0.503056,0.502361,0.494167,0.498194,0.499028,0.500694,0.500694,0.500694,0.500833,0.499722,0.495556,0.499861,0.499861,0.5,0.500278,0.500139,0.500139,,,
43_4,57.98142860120475,57.97673885403423,57.910040227609066,57.890239072889095,63.90979010775997,60.737436688413204,57.88867582383226,57.854284344581785,57.76778456343665,57.752152072868256,59.27163015611647,58.31492173333056,64.57625528899266,61.77751839423057,58.39464743522938,58.359213789941016,58.32846989182317,58.31856931446319,59.21795860516498,63.55701690393314,63.55701690393314,63.55701690393314,58.32221689559581,58.26385559747379,58.25656043520854,58.22425328803385,58.337328303145256,,,
43_5,11760,11760,11760,11690,11760,11830,11970,11690,11690,11690,11830,11830,11830,11830,11830,11970,11830,11830,11970,11970,12250,13440,14420,14630,14770,15400,15260,,,
43_6,11690,11690,11690,11690,11690,11830,11830,11690,11690,11690,11830,11830,11830,11970,11830,11830,11830,11830,11760,11830,12390,13300,14350,14350,14630,15260,15190,,,
43_7,11690,11690,11690,11690,11690,11830,11830,11550,11690,11690,11830,11830,11830,11830,11970,11830,11830,11830,11830,11830,12390,13300,14350,14630,14630,15260,15190,,,
43_8,11760,11690,11760,11760,11760,11830,11760,11690,11690,11690,11830,11830,11830,11830,11830,11830,11830,11830,11830,11830,12250,13300,14350,14210,14630,15260,15190,,,
43_9,94.375,88.75,95,89.6875,71.875,91.25,93.125,80.9375,92.1875,89.6875,91.25,91.875,71.875,98.75,96.875,93.75,91.25,92.8125,94.6875,81.25,94.6875,91.875,95.3125,93.4375,60,65,64.6875,,,
44_0,84,84,87,85,85,85,85,83,85,90,84,86,86,85,86,86,85,85,84,85,84,88,86,88,73,75,77,,,
44_1,60,59,62,61,61,61,61,59,61,65,60,61,62,61,62,62,61,61,61,61,60,66,66,67,59,62,63,,,
44_2,16,16,16,17,17,17,17,16,16,17,16,17,17,17,17,17,17,17,17,17,20,24,27,28,28,32,32,,,
44_3,1.000972,1.001806,1.001944,1.002222,1.004583,1.003472,1.003056,1.002917,1.001528,0.996111,0.999722,0.999722,0.999028,1.001528,1.001389,1.001389,1.00375,1.002778,1.002083,1.001389,1.001389,1.001389,0.981667,0.988194,0.997083,0.999444,0.999444,,,
44_4,61.32678158284178,61.343456239448074,61.32678158284178,61.32626049982284,61.328344831898626,61.32730266586073,61.32730266586073,61.32730266586073,61.36534172624383,61.34814598661859,61.34085082435334,61.32938699793652,61.328344831898626,61.328344831898626,61.68632886591492,61.696750526293854,61.687371031952814,61.68893428100965,61.71707276403277,61.6894553640286,61.68789211497176,61.72801550743065,61.72801550743065,61.6894553640286,61.69101861308544,61.69101861308544,61.690497530066494,,,
44_5,11060,10010,10850,10080,10220,10220,10290,10290,10220,10430,10220,10850,10220,10290,11060,10290,10850,10430,10920,10920,10500,12460,13650,14350,8470,8750,8890,,,
44_6,10920,9870,10220,10080,10220,10220,10220,10290,10220,10290,10290,10640,10220,10290,11130,10220,10640,10430,10920,11060,10500,12460,13510,14210,8330,8680,8890,,,
44_7,11060,10010,10710,10080,10220,10290,10220,10220,10220,10430,10220,10850,10220,10290,10920,10290,10850,10500,10850,10920,10500,12460,13510,14420,8330,8680,8890,,,
44_8,11060,9870,10220,10010,10220,10220,10220,10220,10220,10430,10220,10640,10220,10290,11340,10220,10290,10430,10850,10920,10430,12460,13650,14420,8330,8680,8750,,,
44_9,100.3125,100.3125,99.6875,99.6875,99.375,102.5,103.4375,99.375,100.3125,101.5625,99.6875,100,98.125,99.6875,99.0625,100.625,99.375,101.875,102.8125,102.5,103.125,100,100.9375,97.5,79.6875,79.0625,80.625,,,
45_0,78,80,78,80,64,74,77,75,78,77,76,79,65,78,82,82,80,81,79,66,75,82,82,79,70,72,73,,,
45_1,59,61,59,61,49,57,59,57,60,59,58,61,49,60,63,63,61,62,61,50,59,65,67,66,57,60,62,,,
45_2,16,16,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,20,24,27,28,28,32,32,,,
45_3,0.500417,0.501667,0.501528,0.500694,0.500139,0.497917,0.499167,0.499444,0.499444,0.499583,0.500139,0.500139,0.492361,0.497361,0.499583,0.5,0.5,0.500694,0.501111,0.500417,0.489583,0.499028,0.499722,0.499861,0.5,0.499861,0.500139,,,
45_4,69.47078808595785,69.4666194218063,69.44942368218105,69.38897805198326,75.56798049065176,72.29662129770516,69.35667090480855,69.35198115763805,69.33530650103175,69.32436375763386,69.31550534631178,75.85561831711028,75.86499781145133,72.50192800717011,69.55833003314089,69.5552035350272,69.55728786710299,69.56666736144402,69.68026345957439,75.7461908831315,75.7461908831315,75.7461908831315,69.69224836901016,69.6917272859912,69.77926923317423,69.7834378973258,69.85326302186465,,,
45_5,11480,10010,10850,10080,10220,10290,10290,10290,10220,10430,10220,10920,10220,10290,11060,10290,10710,10430,10920,11130,10500,12460,13510,14420,8540,8680,8960,,,
45_6,10920,9870,10290,10080,10220,10290,10290,10290,10220,10290,10220,10640,10290,10290,10920,10220,10710,10430,10850,10920,10500,12460,13510,13860,8540,8540,8960,,,
45_7,11550,10010,10710,10080,10220,10220,10220,10220,10220,10290,10220,10850,10220,10290,10920,10220,10710,10500,10850,11270,10500,12390,13650,14420,8540,8540,8960,,,
45_8,10920,9870,10220,10010,10080,10290,10220,10220,10220,10290,10220,10640,10220,10290,10850,10220,10710,10430,10850,10850,10500,12460,13650,13720,8540,8540,8890,,,
45_9,97.5,93.75,96.875,92.8125,73.75,93.125,95.3125,87.8125,97.1875,92.5,94.375,94.6875,74.0625,96.25,102.5,97.8125,96.5625,96.5625,98.4375,84.0625,94.0625,97.5,97.1875,98.75,62.1875,66.875,66.5625,,,
46_0,57,56,57,57,57,57,57,56,56,57,57,57,56,57,57,57,57,57,57,57,58,62,63,64,57,58,59,,,
46_1,52,51,52,52,52,51,52,52,52,52,52,52,52,52,52,53,53,52,52,53,54,58,59,62,53,56,57,,,
46_2,16,16,16,16,16,17,16,16,16,16,16,16,16,16,17,17,17,17,17,17,19,23,27,28,27,31,32,,,
46_3,0.500972,0.500694,0.500417,0.500694,0.50125,0.500972,0.500833,0.500694,0.500556,0.500278,0.500139,0.500833,0.500417,0.500417,0.500417,0.500556,0.500417,0.500556,0.500694,0.500833,0.500833,0.501389,0.501944,0.50125,0.500833,0.50125,0.501389,,,
46_4,17.52037434604081,17.513600266794505,17.513600266794505,17.49484127811243,17.492235863017697,17.492235863017697,17.492756946036643,17.494320195093483,17.494320195093483,17.489630447922963,17.489630447922963,17.49171477999875,17.492235863017697,17.49171477999875,17.50109427433979,17.492756946036643,17.489630447922963,17.518290013965025,17.49327802905559,17.49171477999875,17.490151530941908,17.490151530941908,17.492235863017697,17.49171477999875,17.492756946036643,17.491193696979803,17.492235863017697,,,
46_5,8960,8960,8960,8960,9100,9170,8960,8960,9310,9310,8960,9170,9310,9310,8960,9170,9100,9310,8960,9310,9310,9310,9870,9870,8750,8540,8680,,,
46_6,8890,8890,8960,8890,8890,8890,8890,8960,8890,8890,8960,8890,8890,9170,8960,9100,8960,8890,8890,8960,9170,9310,9800,9800,8680,8330,8680,,,
46_7,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,9170,8960,9170,8960,9310,8960,8960,9310,9310,9800,9800,8750,8540,8680,,,
46_8,8890,8890,8960,8890,8890,8960,9170,8890,8890,8890,8890,8890,8890,9100,8960,9170,8890,8890,8890,9100,9170,9170,9660,9660,8680,8470,8540,,,
46_9,77.8125,77.8125,77.8125,77.8125,77.1875,77.8125,77.8125,76.875,77.8125,78.4375,78.125,78.4375,78.125,78.125,77.5,77.8125,78.4375,77.8125,78.125,78.125,78.125,77.8125,78.4375,78.125,53.75,53.4375,54.375,,,
47_0,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,82,84,85,72,70,71,,,
47_1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,54,54,55,55,60,62,64,53,55,56,,,
47_2,16,16,16,16,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,19,23,27,28,27,31,32,,,
47_3,0.499444,0.500417,0.500139,0.500278,0.499444,0.499306,0.499861,0.499861,0.498611,0.499028,0.498472,0.497778,0.498194,0.498889,0.498611,0.49875,0.499444,0.5,0.499583,0.499167,0.499167,0.499167,0.498333,0.498611,0.498333,0.49875,0.49875,,,
47_4,22.82395731287909,22.823436229860143,22.82552056193593,22.822915146841197,22.823436229860143,22.841674135523274,22.841674135523274,22.82552056193593,22.826041644954877,22.826041644954877,22.826562727973823,22.826562727973823,22.857827709110616,22.824478395898037,22.824999478916983,22.824478395898037,22.82708381099277,22.847927131750634,22.82708381099277,22.82552056193593,22.82552056193593,22.826041644954877,22.826562727973823,22.826562727973823,22.826562727973823,22.82552056193593,22.85261687892115,,,
47_5,8960,8960,8960,8960,9100,9310,9100,8960,9310,9170,8960,9310,9170,9310,8960,9310,9100,9170,9100,9310,9310,9380,9800,9870,8680,8540,8750,,,
47_6,8890,8960,8960,8890,8890,8890,8890,8960,8890,8890,8960,8960,8890,9170,8960,9100,8890,9100,8890,8890,9170,9310,9800,9660,8680,8330,8680,,,
47_7,8890,8960,8960,8890,8960,8960,8960,8960,8960,8960,8890,8960,8960,9170,8960,9170,8960,8960,8960,8960,9310,9310,9800,9800,8750,8540,8680,,,
47_8,8890,8890,8960,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,9100,8890,9100,8960,9100,9100,9170,9170,9310,9660,9800,8680,8470,8680,,,
47_9,100.3125,100,101.5625,100,100,100.625,100.3125,100.625,100.3125,100.625,101.25,100.625,100,100.3125,99.6875,100.625,100.625,100.3125,100.625,100.625,100,99.0625,100.625,101.5625,65,67.1875,64.6875,,,
48_0,83,82,82,82,83,83,83,84,83,83,84,83,82,83,84,84,83,84,83,83,84,87,87,88,72,73,75,,,
48_1,49,49,49,49,50,50,50,50,50,50,53,50,49,50,50,50,50,52,50,49,51,55,55,58,52,54,56,,,
48_2,16,16,16,17,17,17,17,16,16,17,16,17,17,17,17,17,17,17,17,17,19,24,29,30,28,32,34,,,
48_3,1.001528,0.997639,0.998472,0.995972,0.998194,1.000417,1.000694,1.000833,1.001806,0.995972,0.998611,0.997361,1.000694,1.00125,1.001667,1.002361,1.001806,1.001528,0.997361,0.999167,0.999167,0.999167,0.996667,0.999444,0.995556,0.997778,0.997778,,,
48_4,88.70292014923818,88.70187798320029,88.70292014923818,88.70239906621924,88.73470621339392,88.72272130395815,88.72272130395815,88.70135690018134,88.70031473414346,88.69927256810556,88.70083581716239,88.70187798320029,88.70604664735187,88.70448339829503,88.70604664735187,88.7456489567918,88.70552556433292,88.71282072659818,88.71073639452239,88.70500448131396,88.70500448131396,88.70500448131396,88.70239906621924,88.70396231527607,88.70239906621924,88.71229964357923,88.70344123225713,,,
48_5,9870,9870,9590,9590,9450,9590,9660,9590,9870,9590,9450,9450,9870,10010,9590,9870,9800,9590,9660,9800,9870,10500,11340,11970,8120,8890,8960,,,
48_6,10010,9660,9450,9590,9590,9590,9870,9590,10010,9590,9450,9590,9870,9590,9450,9870,9450,9450,9450,9800,9660,10500,11340,11970,8120,8890,8890,,,
48_7,9800,9870,9450,9450,9450,9450,9870,9450,9870,9450,9380,9450,9800,9870,9450,9870,9800,9450,9800,9660,9800,10430,11340,11830,8120,8890,8890,,,
48_8,10010,9870,9450,9450,9450,9450,9870,9450,10010,9590,9380,9450,10010,9450,9450,9870,9450,9590,9450,9800,9800,10500,11340,11830,8120,8890,8890,,,
48_9,100.9375,101.25,101.5625,100.3125,100.625,101.875,100.625,100.9375,100.625,100.625,101.25,100.9375,97.5,99.375,102.5,100.625,102.5,102.1875,100.9375,100.625,102.5,101.25,101.5625,101.5625,68.125,77.5,66.875,,,
49_0,62,63,63,63,63,63,63,63,63,64,63,63,62,63,63,63,64,63,63,63,64,67,67,67,63,63,65,,,
49_1,54,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,55,56,56,57,61,63,63,58,58,62,,,
49_2,16,16,16,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,17,19,24,29,30,28,32,34,,,
49_3,0.500556,0.500833,0.501111,0.500972,0.501111,0.501528,0.501528,0.500972,0.500556,0.500417,0.50125,0.500833,0.500417,0.500417,0.500417,0.500417,0.500556,0.500694,0.500417,0.500139,0.500139,0.500694,0.501389,0.500556,0.500972,0.501111,0.501111,,,
49_4,3.677803947724952,3.6939575213122957,3.6783250307438986,3.6793671967817914,3.6793671967817914,3.6793671967817914,3.6783250307438986,3.6783250307438986,3.6767617816870586,3.6783250307438986,3.679888279800738,3.6788461137628445,3.6793671967817914,3.6783250307438986,3.677803947724952,3.6793671967817914,3.6903099401796697,3.679888279800738,3.699689434520708,3.696562936407029,3.696562936407029,3.696562936407029,3.679888279800738,3.677803947724952,3.6793671967817914,3.681451528857578,3.6804093628196846,,,
49_5,10010,9590,9450,9870,9590,9590,9660,9450,9450,9590,9590,9590,9590,9450,9870,9870,9870,9590,9800,9800,9800,10500,11340,11970,8120,8890,8890,,,
49_6,9870,9590,9590,9590,9590,9450,9870,9590,10220,9590,9450,9590,9870,10080,9450,9450,9870,9450,9660,9800,9450,10710,11340,11970,8120,8890,8890,,,
49_7,9800,9450,9450,9800,9450,9450,9590,9380,9380,9450,9450,9450,9450,9450,9800,9800,9870,9380,9800,9660,9660,10500,11270,11830,8120,8890,8890,,,
49_8,9870,9450,9450,9660,9450,9450,9870,9450,9800,9450,9450,9590,9870,10010,9380,9450,9800,9450,9800,9660,9380,10710,11340,11970,8120,8750,8890,,,
49_9,79.375,79.375,79.0625,79.0625,78.4375,79.6875,80,78.125,80,78.75,79.6875,79.6875,78.75,79.6875,79.375,79.375,80.3125,78.75,79.6875,79.6875,79.6875,79.6875,80.3125,79.375,55.3125,55,55.625,,,
50_0,70,71,70,71,73,73,72,71,71,72,71,73,72,71,69,69,70,70,73,74,74,74,76,77,67,63,65,,,
50_1,53,54,53,53,56,55,55,54,53,55,54,56,54,54,53,52,53,53,56,55,57,57,61,61,53,53,55,,,
50_2,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,24,29,30,28,33,34,,,
50_3,0.499722,0.499444,0.499306,0.499583,0.5,0.5,0.499861,0.500139,0.5,0.5,0.501111,0.501111,0.500833,0.499167,0.499722,0.500139,0.500278,0.500139,0.500139,0.500139,0.5,0.5,0.500139,0.500139,0.500556,0.5,0.500833,,,
50_4,52.85866144194093,52.979031619317595,53.00821226837861,53.03478750234488,53.07022114763325,52.92275465327136,53.04937782687538,54.64076536673823,54.75436146486859,54.71944890259916,54.6225274610751,54.67150926485608,54.9570627592388,54.951330846030395,54.90287012526836,54.9883277403756,55.05711069887655,55.000833732830316,55.05554744981971,54.92527669508307,54.87577380828314,54.87577380828314,53.44644308731267,53.38287095900119,53.415699189194825,53.36463305333806,53.920628634554056,,,
50_5,8540,8680,8680,8540,8120,8120,8540,8540,8680,8540,8540,8890,8330,8890,8890,8960,8890,8960,8890,8330,8330,9380,10010,10290,8120,8890,9170,,,
50_6,8470,8470,8470,8470,8120,8120,8260,8470,8540,8330,8540,8540,8260,8750,8540,8540,8750,8750,8540,8260,8330,9380,9660,10430,8050,8750,9100,,,
50_7,8540,8680,8680,8540,8120,8120,8540,8540,8680,8540,8540,8540,8260,8890,8750,8890,8750,8960,8890,8330,8330,9380,9870,10290,8120,8890,9170,,,
50_8,8470,8540,8540,8540,8120,8120,8330,8540,8680,8330,8540,8680,8260,8750,8750,8540,8890,8890,8680,8330,8470,9450,9660,10500,8050,8890,9100,,,
50_9,87.5,92.8125,86.5625,94.0625,88.4375,89.0625,93.75,80,86.5625,92.1875,87.5,91.5625,90,90.3125,83.4375,90.3125,91.5625,92.1875,90,86.875,86.5625,92.5,93.4375,89.0625,58.75,67.1875,55.625,,,
51_0,69,69,69,69,72,72,70,69,69,69,69,71,71,70,69,68,68,68,71,72,72,72,74,75,68,66,68,,,
51_1,48,48,48,49,50,50,49,49,49,49,49,50,50,49,48,48,48,48,50,51,50,51,55,56,52,51,55,,,
51_2,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,24,29,30,28,33,35,,,
51_3,0.500972,0.50125,0.500972,0.500833,0.500694,0.500694,0.500556,0.500417,0.500417,0.500556,0.500972,0.501111,0.501528,0.501528,0.500833,0.500556,0.500833,0.500556,0.500556,0.500417,0.500417,0.500417,0.500278,0.500417,0.500139,0.500417,0.500833,,,
51_4,3.5970360797882317,3.58817766846614,3.5866144194093006,3.5871355024282474,3.5886987514850865,3.6230902307355612,3.58817766846614,3.5876565854471933,3.58817766846614,3.5886987514850865,3.6053734080913773,3.5886987514850865,3.58817766846614,3.58817766846614,3.58817766846614,3.58817766846614,3.58817766846614,3.6090209892240033,3.58817766846614,3.5866144194093006,3.5850511703524606,3.5866144194093006,3.5886987514850865,3.5892198345040334,3.5892198345040334,3.621005898659775,3.58817766846614,,,
51_5,8540,8540,8680,8680,8260,8260,8540,8470,8540,8540,8680,8750,8330,8750,8750,8960,8890,8960,8750,8330,8470,9380,10010,10290,8120,8890,9100,,,
51_6,8470,8540,8680,8540,8120,8120,8330,8470,8470,8540,8540,8540,8260,8750,8540,8750,8890,8540,8680,8330,8330,9380,9800,10220,8050,8750,9100,,,
51_7,8470,8540,8680,8680,8120,8120,8540,8540,8540,8540,8680,8680,8330,8750,8750,8890,8750,8890,8680,8330,8330,9380,10080,10220,8050,8890,9170,,,
51_8,8470,8680,8680,8540,8260,8120,8330,8540,8540,8540,8540,8680,8260,8890,8750,8890,8890,8750,8750,8330,8470,9380,9800,10220,8120,8890,9100,,,
51_9,75.625,76.25,75.9375,76.25,75.3125,76.875,75.3125,75,75.625,75.9375,76.25,76.25,75.625,75.625,75.625,76.25,76.25,75.9375,75.625,76.25,76.5625,76.5625,76.875,76.5625,55,54.0625,55,,,
52_0,68,68,68,67,68,68,68,67,68,68,68,68,67,68,69,69,68,68,68,69,68,70,69,69,63,66,68,,,
52_1,49,49,49,49,49,50,49,49,49,49,49,50,50,50,50,50,50,49,50,50,50,53,53,54,50,55,57,,,
52_2,17,17,18,18,18,18,18,17,18,18,17,18,17,18,18,18,18,18,18,18,20,25,29,30,28,33,35,,,
52_3,0.498333,0.498056,0.498194,0.498194,0.498333,0.498333,0.498611,0.499306,0.499306,0.5,0.500417,0.500833,0.499722,0.499306,0.499028,0.500278,0.5,0.499028,0.499444,0.499583,0.499583,0.499583,0.499444,0.499722,0.49875,0.496528,0.49625,,,
52_4,25.50284511328345,25.465848218938245,25.463763886862456,25.462721720824565,25.46324280384351,25.496592117056093,25.496592117056093,25.49971861516977,25.46793255101403,25.46793255101403,25.468453634032976,25.464284969881405,25.466890384976136,25.464284969881405,25.46480605290035,25.46793255101403,25.468453634032976,25.468453634032976,25.468453634032976,25.465327135919296,25.463763886862456,25.463763886862456,25.483565041582427,25.465327135919296,25.4799174604498,25.4799174604498,25.463763886862456,,,
52_5,9800,9660,9660,10290,9800,9660,9800,9590,9800,9660,9660,9660,9590,9800,10010,9800,9870,9870,9800,9800,9870,11130,12390,13020,8470,8890,9170,,,
52_6,9590,9800,10010,10430,9660,9800,10010,9450,9870,9870,9870,9870,9590,9800,9800,9870,9800,9800,10080,9870,10010,10850,11690,13090,8470,8890,9170,,,
52_7,9660,9800,9870,9870,9800,9800,9800,9450,9800,9660,9380,9660,9590,9660,9870,9800,9660,9870,9800,9800,10010,11060,12390,13020,8330,8890,9170,,,
52_8,9590,9800,9870,10290,9660,9800,9870,9450,9800,9800,9800,9660,9590,9800,9870,9800,9800,9870,9800,9800,10010,10850,11690,13090,8330,8890,9170,,,
52_9,95.9375,98.125,97.8125,96.25,95.625,97.8125,96.25,96.25,96.25,98.125,96.25,97.5,95.9375,96.25,98.125,98.125,97.1875,96.25,98.125,96.25,98.125,97.8125,96.5625,96.25,63.75,64.6875,62.1875,,,
53_0,64,64,64,64,64,64,64,64,64,64,63,63,63,64,64,64,65,63,64,65,64,65,66,65,63,65,67,,,
53_1,47,46,47,47,48,47,47,47,47,47,47,47,46,47,47,48,48,47,47,48,48,50,52,52,50,53,55,,,
53_2,17,17,18,18,18,18,18,17,18,18,17,18,17,18,18,18,18,18,18,18,20,25,29,30,28,33,35,,,
