Series ID,Wed Sep 26 2018 14:35:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 14:51:01 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:06:38 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:22:16 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:38:03 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:53:58 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:09:50 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:25:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:41:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:56:59 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:12:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:28:10 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:43:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:59:36 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:15:29 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:31:26 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:47:23 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:03:00 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:18:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:34:10 GMT-0500 (Central Daylight Time)
13_7,8260,8260,8050,8260,8260,8330,8050,8050,8330,8330,8470,8330,8330,8120,8260,8260,8330,8330,8330,
13_8,8050,8050,8120,8120,8120,8120,8050,8050,8260,8260,8120,8260,8260,8120,8470,8470,8120,8330,8330,
13_9,,,,,,,,,,,,,,,,,,,,
14_0,50,50,50,50,50,50,50,50,39,39,33,31,31,31,31,31,56,56,56,
14_1,44,44,44,44,44,44,44,44,34,34,28,28,28,28,28,28,50,50,51,
14_2,10,10,10,10,10,10,10,10,12,12,11,11,11,10,11,11,10,10,10,
14_3,0.500556,0.500833,0.500833,0.500694,0.500694,0.500417,0.500556,0.500556,0.500694,0.044583,0.044583,0.962639,0.962639,0.017361,0.000694,0.000694,0.438611,0.499861,0.499861,
14_4,93.02,93.02,93.03,93.03,93.03,93,93,93.03,93.03,94.03,92.24,92.24,93.4,93.4,93.4,90.55,83.9,83.9,83.9,
14_5,9170,9170,9170,9310,9310,9310,9310,9310,9450,9450,9310,9310,9310,9170,9310,9310,9310,9310,9310,
14_6,9170,9170,9170,9170,9170,9170,9170,9170,9450,9450,9380,9310,9310,9310,9170,9170,9310,9310,9310,
14_7,9170,9170,9170,9310,9310,9310,9170,9170,9450,9450,9380,9310,9310,9310,9310,9310,9310,9380,9380,
14_8,9170,9170,9170,9170,9170,9170,9170,9170,9380,9380,9310,9310,9310,9310,9170,9170,9170,9170,9170,
14_9,,,,,,,,,,,,,,,,,,,,
